,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
345710,38206-5003-165.zip,202302131028,西条市坂元,乙11-1,,,西条市坂元乙11-1
345711,38206-5003-165.zip,202302131028,西条市坂元,乙11-2,,,西条市坂元乙11-2
345712,38206-5003-165.zip,202302131028,西条市坂元,乙11-3,,,西条市坂元乙11-3
345713,38206-5003-165.zip,202302131028,西条市坂元,乙12-1,,,西条市坂元乙12-1
345714,38206-5003-165.zip,202302131028,西条市坂元,乙12-2,,,西条市坂元乙12-2
345715,38206-5003-165.zip,202302131028,西条市坂元,乙12-3,,,西条市坂元乙12-3
345716,38206-5003-165.zip,202302131028,西条市坂元,乙12-4,,,西条市坂元乙12-4
345717,38206-5003-165.zip,202302131028,西条市坂元,乙12-5,,,西条市坂元乙12-5
345718,38206-5003-165.zip,202302131028,西条市坂元,乙12-6,,,西条市坂元乙12-6
345719,38206-5003-165.zip,202302131028,西条市坂元,乙12-7,,,西条市坂元乙12-7
345720,38206-5003-165.zip,202302131028,西条市坂元,乙12-8,,,西条市坂元乙12-8
345721,38206-5003-165.zip,202302131028,西条市坂元,乙12-9,,,西条市坂元乙12-9
345722,38206-5003-165.zip,202302131028,西条市坂元,乙12-11,,,西条市坂元乙12-11
345723,38206-5003-165.zip,202302131028,西条市坂元,乙12-13,,,西条市坂元乙12-13
345724,38206-5003-165.zip,202302131028,西条市坂元,乙12-14,,,西条市坂元乙12-14
345725,38206-5003-165.zip,202302131028,西条市坂元,乙12-17,,,西条市坂元乙12-17
345726,38206-5003-165.zip,202302131028,西条市坂元,乙12-19,,,西条市坂元乙12-19
345727,38206-5003-165.zip,202302131028,西条市坂元,乙12-20,,,西条市坂元乙12-20
345728,38206-5003-165.zip,202302131028,西条市坂元,乙12-21,,,西条市坂元乙12-21
345729,38206-5003-165.zip,202302131028,西条市坂元,乙12-22,,,西条市坂元乙12-22
345730,38206-5003-165.zip,202302131028,西条市坂元,乙12-24,,,西条市坂元乙12-24
345731,38206-5003-165.zip,202302131028,西条市坂元,乙12-25,,,西条市坂元乙12-25
345732,38206-5003-165.zip,202302131028,西条市坂元,乙12-28,,,西条市坂元乙12-28
345733,38206-5003-165.zip,202302131028,西条市坂元,乙12-29,,,西条市坂元乙12-29
345734,38206-5003-165.zip,202302131028,西条市坂元,乙12-30,,,西条市坂元乙12-30
345735,38206-5003-165.zip,202302131028,西条市坂元,乙12-31,,,西条市坂元乙12-31
345736,38206-5003-165.zip,202302131028,西条市坂元,乙12-32,,,西条市坂元乙12-32
345737,38206-5003-165.zip,202302131028,西条市坂元,乙12-33,,,西条市坂元乙12-33
345738,38206-5003-165.zip,202302131028,西条市坂元,乙12-34,,,西条市坂元乙12-34
345739,38206-5003-165.zip,202302131028,西条市坂元,乙12-35,,,西条市坂元乙12-35
345740,38206-5003-165.zip,202302131028,西条市坂元,乙12-37,,,西条市坂元乙12-37
345741,38206-5003-165.zip,202302131028,西条市坂元,乙12-38,,,西条市坂元乙12-38
345742,38206-5003-165.zip,202302131028,西条市坂元,乙12-39,,,西条市坂元乙12-39
345743,38206-5003-165.zip,202302131028,西条市坂元,乙12-40,,,西条市坂元乙12-40
345744,38206-5003-165.zip,202302131028,西条市坂元,乙12-41,,,西条市坂元乙12-41
345745,38206-5003-165.zip,202302131028,西条市坂元,乙12-43,,,西条市坂元乙12-43
345746,38206-5003-165.zip,202302131028,西条市坂元,乙12-45,,,西条市坂元乙12-45
345747,38206-5003-165.zip,202302131028,西条市坂元,乙12-46,,,西条市坂元乙12-46
345748,38206-5003-165.zip,202302131028,西条市坂元,乙12-48,,,西条市坂元乙12-48
345749,38206-5003-165.zip,202302131028,西条市坂元,乙12-49,,,西条市坂元乙12-49
345750,38206-5003-165.zip,202302131028,西条市坂元,乙12-50,,,西条市坂元乙12-50
345751,38206-5003-165.zip,202302131028,西条市坂元,乙12-51,,,西条市坂元乙12-51
345752,38206-5003-165.zip,202302131028,西条市坂元,乙12-53,,,西条市坂元乙12-53
345753,38206-5003-165.zip,202302131028,西条市坂元,乙12-54,,,西条市坂元乙12-54
345754,38206-5003-165.zip,202302131028,西条市坂元,乙12-55,,,西条市坂元乙12-55
345755,38206-5003-165.zip,202302131028,西条市坂元,乙12-56,,,西条市坂元乙12-56
345756,38206-5003-165.zip,202302131028,西条市坂元,乙12-57,,,西条市坂元乙12-57
345757,38206-5003-165.zip,202302131028,西条市坂元,乙12-58,,,西条市坂元乙12-58
345758,38206-5003-165.zip,202302131028,西条市坂元,乙12-61,,,西条市坂元乙12-61
345759,38206-5003-165.zip,202302131028,西条市坂元,乙12-62,,,西条市坂元乙12-62
345760,38206-5003-165.zip,202302131028,西条市坂元,乙12-63,,,西条市坂元乙12-63
345761,38206-5003-165.zip,202302131028,西条市坂元,乙12-64,,,西条市坂元乙12-64
345762,38206-5003-165.zip,202302131028,西条市坂元,乙12-65,,,西条市坂元乙12-65
345763,38206-5003-165.zip,202302131028,西条市坂元,乙12-69,,,西条市坂元乙12-69
345764,38206-5003-165.zip,202302131028,西条市坂元,乙12-70,,,西条市坂元乙12-70
345765,38206-5003-165.zip,202302131028,西条市坂元,乙12-72,,,西条市坂元乙12-72
345766,38206-5003-165.zip,202302131028,西条市坂元,乙12-74,,,西条市坂元乙12-74
345767,38206-5003-165.zip,202302131028,西条市坂元,乙12-77,,,西条市坂元乙12-77
345768,38206-5003-165.zip,202302131028,西条市坂元,乙12-79,,,西条市坂元乙12-79
345769,38206-5003-165.zip,202302131028,西条市坂元,乙12-80,,,西条市坂元乙12-80
345770,38206-5003-165.zip,202302131028,西条市坂元,乙12-83,,,西条市坂元乙12-83
345771,38206-5003-165.zip,202302131028,西条市坂元,乙12-88,,,西条市坂元乙12-88
345772,38206-5003-165.zip,202302131028,西条市坂元,乙12-89,,,西条市坂元乙12-89
345773,38206-5003-165.zip,202302131028,西条市坂元,乙12-90,,,西条市坂元乙12-90
345774,38206-5003-165.zip,202302131028,西条市坂元,乙12-93,,,西条市坂元乙12-93
345775,38206-5003-165.zip,202302131028,西条市坂元,乙12-94,,,西条市坂元乙12-94
345776,38206-5003-165.zip,202302131028,西条市坂元,乙12-95,,,西条市坂元乙12-95
345777,38206-5003-165.zip,202302131028,西条市坂元,乙12-98,,,西条市坂元乙12-98
345778,38206-5003-165.zip,202302131028,西条市坂元,乙12-99,,,西条市坂元乙12-99
345779,38206-5003-165.zip,202302131028,西条市坂元,乙12-100,,,西条市坂元乙12-100
345780,38206-5003-165.zip,202302131028,西条市坂元,乙12-101,,,西条市坂元乙12-101
345781,38206-5003-165.zip,202302131028,西条市坂元,乙12-102,,,西条市坂元乙12-102
345782,38206-5003-165.zip,202302131028,西条市坂元,乙12-103,,,西条市坂元乙12-103
345783,38206-5003-165.zip,202302131028,西条市坂元,乙12-104,,,西条市坂元乙12-104
345784,38206-5003-165.zip,202302131028,西条市坂元,乙12-105,,,西条市坂元乙12-105
345785,38206-5003-165.zip,202302131028,西条市坂元,乙12-106,,,西条市坂元乙12-106
345786,38206-5003-165.zip,202302131028,西条市坂元,乙12-107,,,西条市坂元乙12-107
345787,38206-5003-165.zip,202302131028,西条市坂元,乙12-108,,,西条市坂元乙12-108
345788,38206-5003-165.zip,202302131028,西条市坂元,乙12-109,,,西条市坂元乙12-109
345789,38206-5003-165.zip,202302131028,西条市坂元,乙12-110,,,西条市坂元乙12-110
345790,38206-5003-165.zip,202302131028,西条市坂元,乙12-111,,,西条市坂元乙12-111
345791,38206-5003-165.zip,202302131028,西条市坂元,乙12-112,,,西条市坂元乙12-112
345792,38206-5003-165.zip,202302131028,西条市坂元,乙12-113,,,西条市坂元乙12-113
345793,38206-5003-165.zip,202302131028,西条市坂元,乙12-114,,,西条市坂元乙12-114
345794,38206-5003-165.zip,202302131028,西条市坂元,乙12-117,,,西条市坂元乙12-117
345795,38206-5003-165.zip,202302131028,西条市坂元,乙12-119,,,西条市坂元乙12-119
345796,38206-5003-165.zip,202302131028,西条市坂元,乙12-120,,,西条市坂元乙12-120
345797,38206-5003-165.zip,202302131028,西条市坂元,乙12-121,,,西条市坂元乙12-121
345798,38206-5003-165.zip,202302131028,西条市坂元,乙12-122,,,西条市坂元乙12-122
345799,38206-5003-165.zip,202302131028,西条市坂元,乙12-123,,,西条市坂元乙12-123
345800,38206-5003-165.zip,202302131028,西条市坂元,乙12-124,,,西条市坂元乙12-124
345801,38206-5003-165.zip,202302131028,西条市坂元,乙12-125,,,西条市坂元乙12-125
345802,38206-5003-165.zip,202302131028,西条市坂元,乙12-126,,,西条市坂元乙12-126
345803,38206-5003-165.zip,202302131028,西条市坂元,乙12-127,,,西条市坂元乙12-127
345804,38206-5003-165.zip,202302131028,西条市坂元,乙12-128,,,西条市坂元乙12-128
345805,38206-5003-165.zip,202302131028,西条市坂元,乙12-129,,,西条市坂元乙12-129
345806,38206-5003-165.zip,202302131028,西条市坂元,乙12-130,,,西条市坂元乙12-130
345807,38206-5003-165.zip,202302131028,西条市坂元,乙12-141,,,西条市坂元乙12-141
345808,38206-5003-165.zip,202302131028,西条市坂元,乙12-142,,,西条市坂元乙12-142
345809,38206-5003-165.zip,202302131028,西条市坂元,乙12-143,,,西条市坂元乙12-143
345810,38206-5003-165.zip,202302131028,西条市坂元,乙12-144,,,西条市坂元乙12-144
345811,38206-5003-165.zip,202302131028,西条市坂元,乙12-145,,,西条市坂元乙12-145
345812,38206-5003-165.zip,202302131028,西条市坂元,乙12-146,,,西条市坂元乙12-146
345813,38206-5003-165.zip,202302131028,西条市坂元,乙12-147,,,西条市坂元乙12-147
345814,38206-5003-165.zip,202302131028,西条市坂元,乙12-148,,,西条市坂元乙12-148
345815,38206-5003-165.zip,202302131028,西条市坂元,乙12-149,,,西条市坂元乙12-149
345816,38206-5003-165.zip,202302131028,西条市坂元,乙12-150,,,西条市坂元乙12-150
345817,38206-5003-165.zip,202302131028,西条市坂元,乙12-151,,,西条市坂元乙12-151
