,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
84087,38206-5003-120.zip,202302131028,西条市坂元,甲1-1,,,西条市坂元甲1-1
84088,38206-5003-120.zip,202302131028,西条市坂元,甲1-3,,,西条市坂元甲1-3
84089,38206-5003-120.zip,202302131028,西条市坂元,甲1-4,,,西条市坂元甲1-4
84090,38206-5003-120.zip,202302131028,西条市坂元,甲1-5,,,西条市坂元甲1-5
84091,38206-5003-120.zip,202302131028,西条市坂元,甲1-6,,,西条市坂元甲1-6
84092,38206-5003-120.zip,202302131028,西条市坂元,甲1-7,,,西条市坂元甲1-7
84093,38206-5003-120.zip,202302131028,西条市坂元,甲1-8,,,西条市坂元甲1-8
84094,38206-5003-120.zip,202302131028,西条市坂元,甲1-9,,,西条市坂元甲1-9
84095,38206-5003-120.zip,202302131028,西条市坂元,甲1-10,,,西条市坂元甲1-10
84096,38206-5003-120.zip,202302131028,西条市坂元,甲1-11,,,西条市坂元甲1-11
84097,38206-5003-120.zip,202302131028,西条市坂元,甲1-12,,,西条市坂元甲1-12
84098,38206-5003-120.zip,202302131028,西条市坂元,甲1-13,,,西条市坂元甲1-13
84099,38206-5003-120.zip,202302131028,西条市坂元,甲1-14,,,西条市坂元甲1-14
84100,38206-5003-120.zip,202302131028,西条市坂元,甲3-2,,,西条市坂元甲3-2
84101,38206-5003-120.zip,202302131028,西条市坂元,甲3-6,,,西条市坂元甲3-6
84102,38206-5003-120.zip,202302131028,西条市坂元,甲4-4,,,西条市坂元甲4-4
84103,38206-5003-120.zip,202302131028,西条市坂元,甲5-1,,,西条市坂元甲5-1
84104,38206-5003-120.zip,202302131028,西条市坂元,甲5-3,,,西条市坂元甲5-3
84105,38206-5003-120.zip,202302131028,西条市坂元,甲6-1,,,西条市坂元甲6-1
84106,38206-5003-120.zip,202302131028,西条市坂元,甲6-3,,,西条市坂元甲6-3
84107,38206-5003-120.zip,202302131028,西条市坂元,甲6-4,,,西条市坂元甲6-4
84108,38206-5003-120.zip,202302131028,西条市坂元,甲9-1,,,西条市坂元甲9-1
84109,38206-5003-120.zip,202302131028,西条市坂元,甲10-5,,,西条市坂元甲10-5
84110,38206-5003-120.zip,202302131028,西条市坂元,甲11,,,西条市坂元甲11
84111,38206-5003-120.zip,202302131028,西条市坂元,甲13-1,,,西条市坂元甲13-1
84112,38206-5003-120.zip,202302131028,西条市坂元,甲13-2,,,西条市坂元甲13-2
84113,38206-5003-120.zip,202302131028,西条市坂元,甲14-1,,,西条市坂元甲14-1
84114,38206-5003-120.zip,202302131028,西条市坂元,甲14-2,,,西条市坂元甲14-2
84115,38206-5003-120.zip,202302131028,西条市坂元,甲14-3,,,西条市坂元甲14-3
84116,38206-5003-120.zip,202302131028,西条市坂元,甲15,,,西条市坂元甲15
84117,38206-5003-120.zip,202302131028,西条市坂元,甲16-1,,,西条市坂元甲16-1
84118,38206-5003-120.zip,202302131028,西条市坂元,甲16-2,,,西条市坂元甲16-2
84119,38206-5003-120.zip,202302131028,西条市坂元,甲17-4,,,西条市坂元甲17-4
84120,38206-5003-120.zip,202302131028,西条市坂元,甲18-1,,,西条市坂元甲18-1
84121,38206-5003-120.zip,202302131028,西条市坂元,甲18-3,,,西条市坂元甲18-3
84122,38206-5003-120.zip,202302131028,西条市坂元,甲18-4,,,西条市坂元甲18-4
84123,38206-5003-120.zip,202302131028,西条市坂元,甲18-5,,,西条市坂元甲18-5
84124,38206-5003-120.zip,202302131028,西条市坂元,甲18-6,,,西条市坂元甲18-6
84125,38206-5003-120.zip,202302131028,西条市坂元,甲19-1,,,西条市坂元甲19-1
84126,38206-5003-120.zip,202302131028,西条市坂元,甲19-2,,,西条市坂元甲19-2
84127,38206-5003-120.zip,202302131028,西条市坂元,甲21-1,,,西条市坂元甲21-1
84128,38206-5003-120.zip,202302131028,西条市坂元,甲21-2,,,西条市坂元甲21-2
84129,38206-5003-120.zip,202302131028,西条市坂元,甲22,,,西条市坂元甲22
84130,38206-5003-120.zip,202302131028,西条市坂元,甲23,,,西条市坂元甲23
84131,38206-5003-120.zip,202302131028,西条市坂元,甲24-1,,,西条市坂元甲24-1
84132,38206-5003-120.zip,202302131028,西条市坂元,甲24-2,,,西条市坂元甲24-2
84133,38206-5003-120.zip,202302131028,西条市坂元,甲27,,,西条市坂元甲27
