,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
25661,38206-5003-50.zip,202302131028,西条市楢木,387,,,西条市楢木387
25662,38206-5003-50.zip,202302131028,西条市楢木,388,,,西条市楢木388
25663,38206-5003-50.zip,202302131028,西条市楢木,389,,,西条市楢木389
25664,38206-5003-50.zip,202302131028,西条市楢木,390,,,西条市楢木390
25665,38206-5003-50.zip,202302131028,西条市楢木,391,,,西条市楢木391
25666,38206-5003-50.zip,202302131028,西条市楢木,392,,,西条市楢木392
25667,38206-5003-50.zip,202302131028,西条市楢木,393,,,西条市楢木393
25668,38206-5003-50.zip,202302131028,西条市楢木,394,,,西条市楢木394
25669,38206-5003-50.zip,202302131028,西条市楢木,395,,,西条市楢木395
25670,38206-5003-50.zip,202302131028,西条市楢木,396-1,,,西条市楢木396-1
25671,38206-5003-50.zip,202302131028,西条市楢木,396-2,,,西条市楢木396-2
25672,38206-5003-50.zip,202302131028,西条市楢木,397,,,西条市楢木397
25673,38206-5003-50.zip,202302131028,西条市楢木,398,,,西条市楢木398
25674,38206-5003-50.zip,202302131028,西条市楢木,399,,,西条市楢木399
25675,38206-5003-50.zip,202302131028,西条市楢木,400,,,西条市楢木400
25676,38206-5003-50.zip,202302131028,西条市楢木,401,,,西条市楢木401
25677,38206-5003-50.zip,202302131028,西条市楢木,402,,,西条市楢木402
25678,38206-5003-50.zip,202302131028,西条市楢木,403,,,西条市楢木403
25679,38206-5003-50.zip,202302131028,西条市楢木,404,,,西条市楢木404
25680,38206-5003-50.zip,202302131028,西条市楢木,405,,,西条市楢木405
25681,38206-5003-50.zip,202302131028,西条市楢木,406,,,西条市楢木406
25682,38206-5003-50.zip,202302131028,西条市楢木,407,,,西条市楢木407
25683,38206-5003-50.zip,202302131028,西条市楢木,408,,,西条市楢木408
25684,38206-5003-50.zip,202302131028,西条市楢木,409,,,西条市楢木409
25685,38206-5003-50.zip,202302131028,西条市楢木,410,,,西条市楢木410
25686,38206-5003-50.zip,202302131028,西条市楢木,411,,,西条市楢木411
25687,38206-5003-50.zip,202302131028,西条市楢木,412,,,西条市楢木412
25688,38206-5003-50.zip,202302131028,西条市楢木,413,,,西条市楢木413
25689,38206-5003-50.zip,202302131028,西条市楢木,414,,,西条市楢木414
25690,38206-5003-50.zip,202302131028,西条市楢木,415-1,,,西条市楢木415-1
