,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
310522,38206-5003-141.zip,202302131028,西条市禎瑞,1,,,西条市禎瑞1
310523,38206-5003-141.zip,202302131028,西条市禎瑞,3-2,,,西条市禎瑞3-2
310524,38206-5003-141.zip,202302131028,西条市禎瑞,11-2,,,西条市禎瑞11-2
310525,38206-5003-141.zip,202302131028,西条市禎瑞,12-2,,,西条市禎瑞12-2
310526,38206-5003-141.zip,202302131028,西条市禎瑞,13,,,西条市禎瑞13
310527,38206-5003-141.zip,202302131028,西条市禎瑞,14-2,,,西条市禎瑞14-2
310528,38206-5003-141.zip,202302131028,西条市禎瑞,17-2,,,西条市禎瑞17-2
310529,38206-5003-141.zip,202302131028,西条市禎瑞,18-1,,,西条市禎瑞18-1
310530,38206-5003-141.zip,202302131028,西条市禎瑞,18-2,,,西条市禎瑞18-2
310531,38206-5003-141.zip,202302131028,西条市禎瑞,22-2,,,西条市禎瑞22-2
310532,38206-5003-141.zip,202302131028,西条市禎瑞,23,,,西条市禎瑞23
310533,38206-5003-141.zip,202302131028,西条市禎瑞,24-2,,,西条市禎瑞24-2
310534,38206-5003-141.zip,202302131028,西条市禎瑞,27-2,,,西条市禎瑞27-2
310535,38206-5003-141.zip,202302131028,西条市禎瑞,28-1,,,西条市禎瑞28-1
310536,38206-5003-141.zip,202302131028,西条市禎瑞,28-2,,,西条市禎瑞28-2
310537,38206-5003-141.zip,202302131028,西条市禎瑞,29-1,,,西条市禎瑞29-1
310538,38206-5003-141.zip,202302131028,西条市禎瑞,29-3,,,西条市禎瑞29-3
310539,38206-5003-141.zip,202302131028,西条市禎瑞,33-1,,,西条市禎瑞33-1
310540,38206-5003-141.zip,202302131028,西条市禎瑞,33-2,,,西条市禎瑞33-2
310541,38206-5003-141.zip,202302131028,西条市禎瑞,33-3,,,西条市禎瑞33-3
310542,38206-5003-141.zip,202302131028,西条市禎瑞,34-1,,,西条市禎瑞34-1
310543,38206-5003-141.zip,202302131028,西条市禎瑞,34-2,,,西条市禎瑞34-2
310544,38206-5003-141.zip,202302131028,西条市禎瑞,34-3,,,西条市禎瑞34-3
310545,38206-5003-141.zip,202302131028,西条市禎瑞,35-1,,,西条市禎瑞35-1
310546,38206-5003-141.zip,202302131028,西条市禎瑞,35-2,,,西条市禎瑞35-2
310547,38206-5003-141.zip,202302131028,西条市禎瑞,36-1,,,西条市禎瑞36-1
310548,38206-5003-141.zip,202302131028,西条市禎瑞,36-2,,,西条市禎瑞36-2
310549,38206-5003-141.zip,202302131028,西条市禎瑞,37-1,,,西条市禎瑞37-1
310550,38206-5003-141.zip,202302131028,西条市禎瑞,37-2,,,西条市禎瑞37-2
310551,38206-5003-141.zip,202302131028,西条市禎瑞,37-4,,,西条市禎瑞37-4
310552,38206-5003-141.zip,202302131028,西条市禎瑞,39,,,西条市禎瑞39
310553,38206-5003-141.zip,202302131028,西条市禎瑞,41-1,,,西条市禎瑞41-1
310554,38206-5003-141.zip,202302131028,西条市禎瑞,41-2,,,西条市禎瑞41-2
310555,38206-5003-141.zip,202302131028,西条市禎瑞,42-1,,,西条市禎瑞42-1
310556,38206-5003-141.zip,202302131028,西条市禎瑞,42-2,,,西条市禎瑞42-2
310557,38206-5003-141.zip,202302131028,西条市禎瑞,43-1,,,西条市禎瑞43-1
310558,38206-5003-141.zip,202302131028,西条市禎瑞,44-1,,,西条市禎瑞44-1
310559,38206-5003-141.zip,202302131028,西条市禎瑞,44-2,,,西条市禎瑞44-2
310560,38206-5003-141.zip,202302131028,西条市禎瑞,46,,,西条市禎瑞46
310561,38206-5003-141.zip,202302131028,西条市禎瑞,47,,,西条市禎瑞47
