,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
25402,38206-5003-49.zip,202302131028,西条市西泉,丁1-1,,,西条市西泉丁1-1
345982,38206-5003-165.zip,202302131028,西条市西泉,丁1-2,,,西条市西泉丁1-2
345983,38206-5003-165.zip,202302131028,西条市西泉,丁1-3,,,西条市西泉丁1-3
345984,38206-5003-165.zip,202302131028,西条市西泉,丁1-4,,,西条市西泉丁1-4
345985,38206-5003-165.zip,202302131028,西条市西泉,丁1-5,,,西条市西泉丁1-5
345986,38206-5003-165.zip,202302131028,西条市西泉,丁1-6,,,西条市西泉丁1-6
345987,38206-5003-165.zip,202302131028,西条市西泉,丁1-7,,,西条市西泉丁1-7
345988,38206-5003-165.zip,202302131028,西条市西泉,丁2-1,,,西条市西泉丁2-1
345989,38206-5003-165.zip,202302131028,西条市西泉,丁2-2,,,西条市西泉丁2-2
345990,38206-5003-165.zip,202302131028,西条市西泉,丁2-3,,,西条市西泉丁2-3
345991,38206-5003-165.zip,202302131028,西条市西泉,丁2-4,,,西条市西泉丁2-4
345992,38206-5003-165.zip,202302131028,西条市西泉,丁2-5,,,西条市西泉丁2-5
345993,38206-5003-165.zip,202302131028,西条市西泉,丁2-6,,,西条市西泉丁2-6
345994,38206-5003-165.zip,202302131028,西条市西泉,丁2-7,,,西条市西泉丁2-7
345995,38206-5003-165.zip,202302131028,西条市西泉,丁2-8,,,西条市西泉丁2-8
345996,38206-5003-165.zip,202302131028,西条市西泉,丁2-9,,,西条市西泉丁2-9
345997,38206-5003-165.zip,202302131028,西条市西泉,丁2-10,,,西条市西泉丁2-10
345998,38206-5003-165.zip,202302131028,西条市西泉,丁2-11,,,西条市西泉丁2-11
345999,38206-5003-165.zip,202302131028,西条市西泉,丁2-12,,,西条市西泉丁2-12
346000,38206-5003-165.zip,202302131028,西条市西泉,丁2-13,,,西条市西泉丁2-13
346001,38206-5003-165.zip,202302131028,西条市西泉,丁2-14,,,西条市西泉丁2-14
346002,38206-5003-165.zip,202302131028,西条市西泉,丁2-15,,,西条市西泉丁2-15
346003,38206-5003-165.zip,202302131028,西条市西泉,丁2-16,,,西条市西泉丁2-16
346004,38206-5003-165.zip,202302131028,西条市西泉,丁2-17,,,西条市西泉丁2-17
346005,38206-5003-165.zip,202302131028,西条市西泉,丁2-18,,,西条市西泉丁2-18
346006,38206-5003-165.zip,202302131028,西条市西泉,丁2-19,,,西条市西泉丁2-19
346007,38206-5003-165.zip,202302131028,西条市西泉,丁2-20,,,西条市西泉丁2-20
346008,38206-5003-165.zip,202302131028,西条市西泉,丁2-21,,,西条市西泉丁2-21
346009,38206-5003-165.zip,202302131028,西条市西泉,丁2-23,,,西条市西泉丁2-23
346010,38206-5003-165.zip,202302131028,西条市西泉,丁2-24,,,西条市西泉丁2-24
346011,38206-5003-165.zip,202302131028,西条市西泉,丁2-26,,,西条市西泉丁2-26
346012,38206-5003-165.zip,202302131028,西条市西泉,丁2-27,,,西条市西泉丁2-27
346013,38206-5003-165.zip,202302131028,西条市西泉,丁2-28,,,西条市西泉丁2-28
346014,38206-5003-165.zip,202302131028,西条市西泉,丁2-29,,,西条市西泉丁2-29
346015,38206-5003-165.zip,202302131028,西条市西泉,丁2-31,,,西条市西泉丁2-31
346016,38206-5003-165.zip,202302131028,西条市西泉,丁2-32,,,西条市西泉丁2-32
346017,38206-5003-165.zip,202302131028,西条市西泉,丁2-33,,,西条市西泉丁2-33
346018,38206-5003-165.zip,202302131028,西条市西泉,丁2-34,,,西条市西泉丁2-34
346019,38206-5003-165.zip,202302131028,西条市西泉,丁2-35,,,西条市西泉丁2-35
346020,38206-5003-165.zip,202302131028,西条市西泉,丁2-36,,,西条市西泉丁2-36
346021,38206-5003-165.zip,202302131028,西条市西泉,丁2-37,,,西条市西泉丁2-37
346022,38206-5003-165.zip,202302131028,西条市西泉,丁2-38,,,西条市西泉丁2-38
346023,38206-5003-165.zip,202302131028,西条市西泉,丁2-39,,,西条市西泉丁2-39
346024,38206-5003-165.zip,202302131028,西条市西泉,丁2-40,,,西条市西泉丁2-40
346025,38206-5003-165.zip,202302131028,西条市西泉,丁2-41,,,西条市西泉丁2-41
346026,38206-5003-165.zip,202302131028,西条市西泉,丁2-42,,,西条市西泉丁2-42
346027,38206-5003-165.zip,202302131028,西条市西泉,丁2-43,,,西条市西泉丁2-43
346028,38206-5003-165.zip,202302131028,西条市西泉,丁2-44,,,西条市西泉丁2-44
346029,38206-5003-165.zip,202302131028,西条市西泉,丁2-45,,,西条市西泉丁2-45
346030,38206-5003-165.zip,202302131028,西条市西泉,丁2-46,,,西条市西泉丁2-46
346031,38206-5003-165.zip,202302131028,西条市西泉,丁2-47,,,西条市西泉丁2-47
346032,38206-5003-165.zip,202302131028,西条市西泉,丁2-48,,,西条市西泉丁2-48
346033,38206-5003-165.zip,202302131028,西条市西泉,丁2-49,,,西条市西泉丁2-49
346034,38206-5003-165.zip,202302131028,西条市西泉,丁2-54,,,西条市西泉丁2-54
346035,38206-5003-165.zip,202302131028,西条市西泉,丁2-56,,,西条市西泉丁2-56
346036,38206-5003-165.zip,202302131028,西条市西泉,丁2-59,,,西条市西泉丁2-59
346037,38206-5003-165.zip,202302131028,西条市西泉,丁2-60,,,西条市西泉丁2-60
346038,38206-5003-165.zip,202302131028,西条市西泉,丁2-61,,,西条市西泉丁2-61
346039,38206-5003-165.zip,202302131028,西条市西泉,丁2-62,,,西条市西泉丁2-62
346040,38206-5003-165.zip,202302131028,西条市西泉,丁2-63,,,西条市西泉丁2-63
346041,38206-5003-165.zip,202302131028,西条市西泉,丁2-64,,,西条市西泉丁2-64
346042,38206-5003-165.zip,202302131028,西条市西泉,丁2-65,,,西条市西泉丁2-65
346043,38206-5003-165.zip,202302131028,西条市西泉,丁2-72,,,西条市西泉丁2-72
346044,38206-5003-165.zip,202302131028,西条市西泉,丁2-73,,,西条市西泉丁2-73
346045,38206-5003-165.zip,202302131028,西条市西泉,丁2-74,,,西条市西泉丁2-74
346046,38206-5003-165.zip,202302131028,西条市西泉,丁2-75,,,西条市西泉丁2-75
346047,38206-5003-165.zip,202302131028,西条市西泉,丁2-76,,,西条市西泉丁2-76
346048,38206-5003-165.zip,202302131028,西条市西泉,丁2-77,,,西条市西泉丁2-77
346049,38206-5003-165.zip,202302131028,西条市西泉,丁2-78,,,西条市西泉丁2-78
346050,38206-5003-165.zip,202302131028,西条市西泉,丁2-79,,,西条市西泉丁2-79
346051,38206-5003-165.zip,202302131028,西条市西泉,丁2-80,,,西条市西泉丁2-80
346052,38206-5003-165.zip,202302131028,西条市西泉,丁2-81,,,西条市西泉丁2-81
346053,38206-5003-165.zip,202302131028,西条市西泉,丁2-82,,,西条市西泉丁2-82
346054,38206-5003-165.zip,202302131028,西条市西泉,丁2-83,,,西条市西泉丁2-83
346055,38206-5003-165.zip,202302131028,西条市西泉,丁2-84,,,西条市西泉丁2-84
346056,38206-5003-165.zip,202302131028,西条市西泉,丁2-85,,,西条市西泉丁2-85
346057,38206-5003-165.zip,202302131028,西条市西泉,丁3,,,西条市西泉丁3
346058,38206-5003-165.zip,202302131028,西条市西泉,丁4-1,,,西条市西泉丁4-1
346059,38206-5003-165.zip,202302131028,西条市西泉,丁4-2,,,西条市西泉丁4-2
