,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
86997,38206-5003-120.zip,202302131028,西条市西泉,乙1,,,西条市西泉乙1
86998,38206-5003-120.zip,202302131028,西条市西泉,乙2-1,,,西条市西泉乙2-1
86999,38206-5003-120.zip,202302131028,西条市西泉,乙2-2,,,西条市西泉乙2-2
87000,38206-5003-120.zip,202302131028,西条市西泉,乙3,,,西条市西泉乙3
87001,38206-5003-120.zip,202302131028,西条市西泉,乙4,,,西条市西泉乙4
87002,38206-5003-120.zip,202302131028,西条市西泉,乙5,,,西条市西泉乙5
87003,38206-5003-120.zip,202302131028,西条市西泉,乙6,,,西条市西泉乙6
87004,38206-5003-120.zip,202302131028,西条市西泉,乙7,,,西条市西泉乙7
87005,38206-5003-120.zip,202302131028,西条市西泉,乙8,,,西条市西泉乙8
87006,38206-5003-120.zip,202302131028,西条市西泉,乙9,,,西条市西泉乙9
87007,38206-5003-120.zip,202302131028,西条市西泉,乙10,,,西条市西泉乙10
87008,38206-5003-120.zip,202302131028,西条市西泉,乙11,,,西条市西泉乙11
87009,38206-5003-120.zip,202302131028,西条市西泉,乙12,,,西条市西泉乙12
87010,38206-5003-120.zip,202302131028,西条市西泉,乙13,,,西条市西泉乙13
87011,38206-5003-120.zip,202302131028,西条市西泉,乙14,,,西条市西泉乙14
87012,38206-5003-120.zip,202302131028,西条市西泉,乙16-1,,,西条市西泉乙16-1
87013,38206-5003-120.zip,202302131028,西条市西泉,乙17,,,西条市西泉乙17
87014,38206-5003-120.zip,202302131028,西条市西泉,乙18,,,西条市西泉乙18
87015,38206-5003-120.zip,202302131028,西条市西泉,乙19,,,西条市西泉乙19
87016,38206-5003-120.zip,202302131028,西条市西泉,乙20,,,西条市西泉乙20
87017,38206-5003-120.zip,202302131028,西条市西泉,乙23-1,,,西条市西泉乙23-1
87018,38206-5003-120.zip,202302131028,西条市西泉,乙24-2,,,西条市西泉乙24-2
87019,38206-5003-120.zip,202302131028,西条市西泉,乙26,,,西条市西泉乙26
87020,38206-5003-120.zip,202302131028,西条市西泉,乙27-2,,,西条市西泉乙27-2
87021,38206-5003-120.zip,202302131028,西条市西泉,乙28,,,西条市西泉乙28
87022,38206-5003-120.zip,202302131028,西条市西泉,乙30-1,,,西条市西泉乙30-1
87023,38206-5003-120.zip,202302131028,西条市西泉,乙30-2,,,西条市西泉乙30-2
87024,38206-5003-120.zip,202302131028,西条市西泉,乙31,,,西条市西泉乙31
87025,38206-5003-120.zip,202302131028,西条市西泉,乙32,,,西条市西泉乙32
87026,38206-5003-120.zip,202302131028,西条市西泉,乙33-1,,,西条市西泉乙33-1
