,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
25533,38206-5003-50.zip,202302131028,西条市西泉東新開,1,,,西条市西泉東新開1
25534,38206-5003-50.zip,202302131028,西条市西泉東新開,2,,,西条市西泉東新開2
25535,38206-5003-50.zip,202302131028,西条市西泉東新開,3,,,西条市西泉東新開3
25536,38206-5003-50.zip,202302131028,西条市西泉東新開,4,,,西条市西泉東新開4
25537,38206-5003-50.zip,202302131028,西条市西泉東新開,5,,,西条市西泉東新開5
25538,38206-5003-50.zip,202302131028,西条市西泉東新開,6,,,西条市西泉東新開6
25539,38206-5003-50.zip,202302131028,西条市西泉東新開,7,,,西条市西泉東新開7
25540,38206-5003-50.zip,202302131028,西条市西泉東新開,8,,,西条市西泉東新開8
25541,38206-5003-50.zip,202302131028,西条市西泉東新開,9,,,西条市西泉東新開9
25542,38206-5003-50.zip,202302131028,西条市西泉東新開,10,,,西条市西泉東新開10
25543,38206-5003-50.zip,202302131028,西条市西泉東新開,11,,,西条市西泉東新開11
25544,38206-5003-50.zip,202302131028,西条市西泉東新開,12,,,西条市西泉東新開12
25545,38206-5003-50.zip,202302131028,西条市西泉東新開,13,,,西条市西泉東新開13
25546,38206-5003-50.zip,202302131028,西条市西泉東新開,14,,,西条市西泉東新開14
25547,38206-5003-50.zip,202302131028,西条市西泉東新開,15,,,西条市西泉東新開15
25548,38206-5003-50.zip,202302131028,西条市西泉東新開,16,,,西条市西泉東新開16
25549,38206-5003-50.zip,202302131028,西条市西泉東新開,17,,,西条市西泉東新開17
25550,38206-5003-50.zip,202302131028,西条市西泉東新開,18,,,西条市西泉東新開18
25551,38206-5003-50.zip,202302131028,西条市西泉東新開,19,,,西条市西泉東新開19
25552,38206-5003-50.zip,202302131028,西条市西泉東新開,20,,,西条市西泉東新開20
25553,38206-5003-50.zip,202302131028,西条市西泉東新開,21,,,西条市西泉東新開21
25554,38206-5003-50.zip,202302131028,西条市西泉東新開,22,,,西条市西泉東新開22
25555,38206-5003-50.zip,202302131028,西条市西泉東新開,23,,,西条市西泉東新開23
25556,38206-5003-50.zip,202302131028,西条市西泉東新開,24,,,西条市西泉東新開24
25557,38206-5003-50.zip,202302131028,西条市西泉東新開,25,,,西条市西泉東新開25
25558,38206-5003-50.zip,202302131028,西条市西泉東新開,26,,,西条市西泉東新開26
25559,38206-5003-50.zip,202302131028,西条市西泉東新開,27,,,西条市西泉東新開27
25560,38206-5003-50.zip,202302131028,西条市西泉東新開,28,,,西条市西泉東新開28
25561,38206-5003-50.zip,202302131028,西条市西泉東新開,29-1,,,西条市西泉東新開29-1
25562,38206-5003-50.zip,202302131028,西条市西泉東新開,29-2,,,西条市西泉東新開29-2
25563,38206-5003-50.zip,202302131028,西条市西泉東新開,30,,,西条市西泉東新開30
25564,38206-5003-50.zip,202302131028,西条市西泉東新開,31,,,西条市西泉東新開31
25565,38206-5003-50.zip,202302131028,西条市西泉東新開,32,,,西条市西泉東新開32
25566,38206-5003-50.zip,202302131028,西条市西泉東新開,33,,,西条市西泉東新開33
25567,38206-5003-50.zip,202302131028,西条市西泉東新開,34,,,西条市西泉東新開34
25568,38206-5003-50.zip,202302131028,西条市西泉東新開,35,,,西条市西泉東新開35
25569,38206-5003-50.zip,202302131028,西条市西泉東新開,36,,,西条市西泉東新開36
25570,38206-5003-50.zip,202302131028,西条市西泉東新開,37,,,西条市西泉東新開37
25571,38206-5003-50.zip,202302131028,西条市西泉東新開,38,,,西条市西泉東新開38
25572,38206-5003-50.zip,202302131028,西条市西泉東新開,39,,,西条市西泉東新開39
25573,38206-5003-50.zip,202302131028,西条市西泉東新開,40-1,,,西条市西泉東新開40-1
25574,38206-5003-50.zip,202302131028,西条市西泉東新開,40-2,,,西条市西泉東新開40-2
25575,38206-5003-50.zip,202302131028,西条市西泉東新開,41,,,西条市西泉東新開41
25576,38206-5003-50.zip,202302131028,西条市西泉東新開,42,,,西条市西泉東新開42
25577,38206-5003-50.zip,202302131028,西条市西泉東新開,43,,,西条市西泉東新開43
25578,38206-5003-50.zip,202302131028,西条市西泉東新開,44,,,西条市西泉東新開44
25579,38206-5003-50.zip,202302131028,西条市西泉東新開,45,,,西条市西泉東新開45
25580,38206-5003-50.zip,202302131028,西条市西泉東新開,46,,,西条市西泉東新開46
25581,38206-5003-50.zip,202302131028,西条市西泉東新開,47,,,西条市西泉東新開47
25582,38206-5003-50.zip,202302131028,西条市西泉東新開,48,,,西条市西泉東新開48
25583,38206-5003-50.zip,202302131028,西条市西泉東新開,49,,,西条市西泉東新開49
25584,38206-5003-50.zip,202302131028,西条市西泉東新開,50,,,西条市西泉東新開50
25585,38206-5003-50.zip,202302131028,西条市西泉東新開,51-1,,,西条市西泉東新開51-1
25586,38206-5003-50.zip,202302131028,西条市西泉東新開,51-2,,,西条市西泉東新開51-2
25587,38206-5003-50.zip,202302131028,西条市西泉東新開,51-3,,,西条市西泉東新開51-3
25588,38206-5003-50.zip,202302131028,西条市西泉東新開,51-4,,,西条市西泉東新開51-4
25589,38206-5003-50.zip,202302131028,西条市西泉東新開,51-5,,,西条市西泉東新開51-5
