,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
25409,38206-5003-50.zip,202302131028,西条市西泉西新開,1,,,西条市西泉西新開1
25410,38206-5003-50.zip,202302131028,西条市西泉西新開,2,,,西条市西泉西新開2
25411,38206-5003-50.zip,202302131028,西条市西泉西新開,3,,,西条市西泉西新開3
25412,38206-5003-50.zip,202302131028,西条市西泉西新開,4,,,西条市西泉西新開4
25413,38206-5003-50.zip,202302131028,西条市西泉西新開,5,,,西条市西泉西新開5
25414,38206-5003-50.zip,202302131028,西条市西泉西新開,6,,,西条市西泉西新開6
25415,38206-5003-50.zip,202302131028,西条市西泉西新開,7,,,西条市西泉西新開7
25416,38206-5003-50.zip,202302131028,西条市西泉西新開,8,,,西条市西泉西新開8
25417,38206-5003-50.zip,202302131028,西条市西泉西新開,9,,,西条市西泉西新開9
25418,38206-5003-50.zip,202302131028,西条市西泉西新開,10,,,西条市西泉西新開10
25419,38206-5003-50.zip,202302131028,西条市西泉西新開,11,,,西条市西泉西新開11
25420,38206-5003-50.zip,202302131028,西条市西泉西新開,12,,,西条市西泉西新開12
25421,38206-5003-50.zip,202302131028,西条市西泉西新開,13,,,西条市西泉西新開13
25422,38206-5003-50.zip,202302131028,西条市西泉西新開,14,,,西条市西泉西新開14
25423,38206-5003-50.zip,202302131028,西条市西泉西新開,15,,,西条市西泉西新開15
25424,38206-5003-50.zip,202302131028,西条市西泉西新開,16,,,西条市西泉西新開16
25425,38206-5003-50.zip,202302131028,西条市西泉西新開,17,,,西条市西泉西新開17
25426,38206-5003-50.zip,202302131028,西条市西泉西新開,18,,,西条市西泉西新開18
25427,38206-5003-50.zip,202302131028,西条市西泉西新開,19,,,西条市西泉西新開19
25428,38206-5003-50.zip,202302131028,西条市西泉西新開,20,,,西条市西泉西新開20
25429,38206-5003-50.zip,202302131028,西条市西泉西新開,21-1,,,西条市西泉西新開21-1
25430,38206-5003-50.zip,202302131028,西条市西泉西新開,21-2,,,西条市西泉西新開21-2
25431,38206-5003-50.zip,202302131028,西条市西泉西新開,21-3,,,西条市西泉西新開21-3
25432,38206-5003-50.zip,202302131028,西条市西泉西新開,22,,,西条市西泉西新開22
25433,38206-5003-50.zip,202302131028,西条市西泉西新開,23,,,西条市西泉西新開23
25434,38206-5003-50.zip,202302131028,西条市西泉西新開,24,,,西条市西泉西新開24
25435,38206-5003-50.zip,202302131028,西条市西泉西新開,25,,,西条市西泉西新開25
25436,38206-5003-50.zip,202302131028,西条市西泉西新開,26,,,西条市西泉西新開26
25437,38206-5003-50.zip,202302131028,西条市西泉西新開,27,,,西条市西泉西新開27
25438,38206-5003-50.zip,202302131028,西条市西泉西新開,28,,,西条市西泉西新開28
25439,38206-5003-50.zip,202302131028,西条市西泉西新開,29,,,西条市西泉西新開29
25440,38206-5003-50.zip,202302131028,西条市西泉西新開,30,,,西条市西泉西新開30
25441,38206-5003-50.zip,202302131028,西条市西泉西新開,31,,,西条市西泉西新開31
25442,38206-5003-50.zip,202302131028,西条市西泉西新開,32,,,西条市西泉西新開32
25443,38206-5003-50.zip,202302131028,西条市西泉西新開,33,,,西条市西泉西新開33
25444,38206-5003-50.zip,202302131028,西条市西泉西新開,34,,,西条市西泉西新開34
25445,38206-5003-50.zip,202302131028,西条市西泉西新開,35,,,西条市西泉西新開35
25446,38206-5003-50.zip,202302131028,西条市西泉西新開,36,,,西条市西泉西新開36
25447,38206-5003-50.zip,202302131028,西条市西泉西新開,37-1,,,西条市西泉西新開37-1
25448,38206-5003-50.zip,202302131028,西条市西泉西新開,37-2,,,西条市西泉西新開37-2
25449,38206-5003-50.zip,202302131028,西条市西泉西新開,38,,,西条市西泉西新開38
25450,38206-5003-50.zip,202302131028,西条市西泉西新開,39,,,西条市西泉西新開39
25451,38206-5003-50.zip,202302131028,西条市西泉西新開,40,,,西条市西泉西新開40
25452,38206-5003-50.zip,202302131028,西条市西泉西新開,41,,,西条市西泉西新開41
25453,38206-5003-50.zip,202302131028,西条市西泉西新開,42-1,,,西条市西泉西新開42-1
25454,38206-5003-50.zip,202302131028,西条市西泉西新開,42-2,,,西条市西泉西新開42-2
25455,38206-5003-50.zip,202302131028,西条市西泉西新開,43,,,西条市西泉西新開43
25456,38206-5003-50.zip,202302131028,西条市西泉西新開,44,,,西条市西泉西新開44
25457,38206-5003-50.zip,202302131028,西条市西泉西新開,45,,,西条市西泉西新開45
25458,38206-5003-50.zip,202302131028,西条市西泉西新開,46,,,西条市西泉西新開46
25459,38206-5003-50.zip,202302131028,西条市西泉西新開,47,,,西条市西泉西新開47
25460,38206-5003-50.zip,202302131028,西条市西泉西新開,48,,,西条市西泉西新開48
25461,38206-5003-50.zip,202302131028,西条市西泉西新開,49,,,西条市西泉西新開49
25462,38206-5003-50.zip,202302131028,西条市西泉西新開,50,,,西条市西泉西新開50
25463,38206-5003-50.zip,202302131028,西条市西泉西新開,51,,,西条市西泉西新開51
25464,38206-5003-50.zip,202302131028,西条市西泉西新開,52,,,西条市西泉西新開52
25465,38206-5003-50.zip,202302131028,西条市西泉西新開,53,,,西条市西泉西新開53
25466,38206-5003-50.zip,202302131028,西条市西泉西新開,54,,,西条市西泉西新開54
25467,38206-5003-50.zip,202302131028,西条市西泉西新開,55,,,西条市西泉西新開55
25468,38206-5003-50.zip,202302131028,西条市西泉西新開,56,,,西条市西泉西新開56
25469,38206-5003-50.zip,202302131028,西条市西泉西新開,57,,,西条市西泉西新開57
25470,38206-5003-50.zip,202302131028,西条市西泉西新開,58,,,西条市西泉西新開58
25471,38206-5003-50.zip,202302131028,西条市西泉西新開,59,,,西条市西泉西新開59
25472,38206-5003-50.zip,202302131028,西条市西泉西新開,60,,,西条市西泉西新開60
25473,38206-5003-50.zip,202302131028,西条市西泉西新開,61,,,西条市西泉西新開61
25474,38206-5003-50.zip,202302131028,西条市西泉西新開,62,,,西条市西泉西新開62
25475,38206-5003-50.zip,202302131028,西条市西泉西新開,63,,,西条市西泉西新開63
25476,38206-5003-50.zip,202302131028,西条市西泉西新開,64,,,西条市西泉西新開64
25477,38206-5003-50.zip,202302131028,西条市西泉西新開,65,,,西条市西泉西新開65
25478,38206-5003-50.zip,202302131028,西条市西泉西新開,66-1,,,西条市西泉西新開66-1
25479,38206-5003-50.zip,202302131028,西条市西泉西新開,66-2,,,西条市西泉西新開66-2
25480,38206-5003-50.zip,202302131028,西条市西泉西新開,67,,,西条市西泉西新開67
25481,38206-5003-50.zip,202302131028,西条市西泉西新開,68,,,西条市西泉西新開68
25482,38206-5003-50.zip,202302131028,西条市西泉西新開,69-1,,,西条市西泉西新開69-1
25483,38206-5003-50.zip,202302131028,西条市西泉西新開,69-2,,,西条市西泉西新開69-2
25484,38206-5003-50.zip,202302131028,西条市西泉西新開,70,,,西条市西泉西新開70
