,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
25854,38206-5003-51.zip,202302131028,西条市西田,乙5-1,,,西条市西田乙5-1
344773,38206-5003-162.zip,202302131028,西条市西田,乙1-1,,,西条市西田乙1-1
344774,38206-5003-162.zip,202302131028,西条市西田,乙1-2,,,西条市西田乙1-2
344775,38206-5003-162.zip,202302131028,西条市西田,乙5-2,,,西条市西田乙5-2
344776,38206-5003-162.zip,202302131028,西条市西田,乙5-3,,,西条市西田乙5-3
344777,38206-5003-162.zip,202302131028,西条市西田,乙5-4,,,西条市西田乙5-4
344778,38206-5003-162.zip,202302131028,西条市西田,乙5-5,,,西条市西田乙5-5
344779,38206-5003-162.zip,202302131028,西条市西田,乙5-6,,,西条市西田乙5-6
344780,38206-5003-162.zip,202302131028,西条市西田,乙5-7,,,西条市西田乙5-7
344781,38206-5003-162.zip,202302131028,西条市西田,乙5-9,,,西条市西田乙5-9
344782,38206-5003-162.zip,202302131028,西条市西田,乙5-10,,,西条市西田乙5-10
344783,38206-5003-162.zip,202302131028,西条市西田,乙5-11,,,西条市西田乙5-11
344784,38206-5003-162.zip,202302131028,西条市西田,乙5-12,,,西条市西田乙5-12
344785,38206-5003-162.zip,202302131028,西条市西田,乙5-13,,,西条市西田乙5-13
344786,38206-5003-162.zip,202302131028,西条市西田,乙5-14,,,西条市西田乙5-14
344787,38206-5003-162.zip,202302131028,西条市西田,乙5-15,,,西条市西田乙5-15
344788,38206-5003-162.zip,202302131028,西条市西田,乙5-16,,,西条市西田乙5-16
344789,38206-5003-162.zip,202302131028,西条市西田,乙5-17,,,西条市西田乙5-17
344790,38206-5003-162.zip,202302131028,西条市西田,乙5-18,,,西条市西田乙5-18
344791,38206-5003-162.zip,202302131028,西条市西田,乙5-19,,,西条市西田乙5-19
344792,38206-5003-162.zip,202302131028,西条市西田,乙5-21,,,西条市西田乙5-21
344793,38206-5003-162.zip,202302131028,西条市西田,乙5-22,,,西条市西田乙5-22
344794,38206-5003-162.zip,202302131028,西条市西田,乙5-23,,,西条市西田乙5-23
344795,38206-5003-162.zip,202302131028,西条市西田,乙5-24,,,西条市西田乙5-24
344796,38206-5003-162.zip,202302131028,西条市西田,乙5-25,,,西条市西田乙5-25
344797,38206-5003-162.zip,202302131028,西条市西田,乙5-26,,,西条市西田乙5-26
344798,38206-5003-162.zip,202302131028,西条市西田,乙5-30,,,西条市西田乙5-30
344799,38206-5003-162.zip,202302131028,西条市西田,乙5-31,,,西条市西田乙5-31
344800,38206-5003-162.zip,202302131028,西条市西田,乙5-32,,,西条市西田乙5-32
344801,38206-5003-162.zip,202302131028,西条市西田,乙5-33,,,西条市西田乙5-33
344802,38206-5003-162.zip,202302131028,西条市西田,乙5-34,,,西条市西田乙5-34
344803,38206-5003-162.zip,202302131028,西条市西田,乙5-35,,,西条市西田乙5-35
344804,38206-5003-162.zip,202302131028,西条市西田,乙5-36,,,西条市西田乙5-36
344805,38206-5003-162.zip,202302131028,西条市西田,乙5-37,,,西条市西田乙5-37
344806,38206-5003-162.zip,202302131028,西条市西田,乙5-38,,,西条市西田乙5-38
344807,38206-5003-162.zip,202302131028,西条市西田,乙5-39,,,西条市西田乙5-39
344808,38206-5003-162.zip,202302131028,西条市西田,乙5-40,,,西条市西田乙5-40
344809,38206-5003-162.zip,202302131028,西条市西田,乙5-41,,,西条市西田乙5-41
344810,38206-5003-162.zip,202302131028,西条市西田,乙5-42,,,西条市西田乙5-42
344811,38206-5003-162.zip,202302131028,西条市西田,乙5-43,,,西条市西田乙5-43
344812,38206-5003-162.zip,202302131028,西条市西田,乙5-44,,,西条市西田乙5-44
344813,38206-5003-162.zip,202302131028,西条市西田,乙5-45,,,西条市西田乙5-45
344814,38206-5003-162.zip,202302131028,西条市西田,乙5-46,,,西条市西田乙5-46
344815,38206-5003-162.zip,202302131028,西条市西田,乙5-47,,,西条市西田乙5-47
344816,38206-5003-162.zip,202302131028,西条市西田,乙5-48,,,西条市西田乙5-48
344817,38206-5003-162.zip,202302131028,西条市西田,乙5-49,,,西条市西田乙5-49
