,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
93332,38206-5003-121.zip,202302131028,西条市西田,甲19-6,,,西条市西田甲19-6
93333,38206-5003-121.zip,202302131028,西条市西田,甲19-7,,,西条市西田甲19-7
93334,38206-5003-121.zip,202302131028,西条市西田,甲19-9,,,西条市西田甲19-9
93335,38206-5003-121.zip,202302131028,西条市西田,甲19-10,,,西条市西田甲19-10
93336,38206-5003-121.zip,202302131028,西条市西田,甲19-11,,,西条市西田甲19-11
93337,38206-5003-121.zip,202302131028,西条市西田,甲27-5,,,西条市西田甲27-5
93338,38206-5003-121.zip,202302131028,西条市西田,甲27-6,,,西条市西田甲27-6
93339,38206-5003-121.zip,202302131028,西条市西田,甲28-4,,,西条市西田甲28-4
93340,38206-5003-121.zip,202302131028,西条市西田,甲28-5,,,西条市西田甲28-5
93341,38206-5003-121.zip,202302131028,西条市西田,甲29-3,,,西条市西田甲29-3
93342,38206-5003-121.zip,202302131028,西条市西田,甲36-3,,,西条市西田甲36-3
93343,38206-5003-121.zip,202302131028,西条市西田,甲38-6,,,西条市西田甲38-6
93344,38206-5003-121.zip,202302131028,西条市西田,甲38-7,,,西条市西田甲38-7
93345,38206-5003-121.zip,202302131028,西条市西田,甲43-2,,,西条市西田甲43-2
93346,38206-5003-121.zip,202302131028,西条市西田,甲44-9,,,西条市西田甲44-9
93347,38206-5003-121.zip,202302131028,西条市西田,甲44-20,,,西条市西田甲44-20
93348,38206-5003-121.zip,202302131028,西条市西田,甲44-21,,,西条市西田甲44-21
93349,38206-5003-121.zip,202302131028,西条市西田,甲44-22,,,西条市西田甲44-22
93350,38206-5003-121.zip,202302131028,西条市西田,甲44-23,,,西条市西田甲44-23
93351,38206-5003-121.zip,202302131028,西条市西田,甲44-24,,,西条市西田甲44-24
93352,38206-5003-121.zip,202302131028,西条市西田,甲45-5,,,西条市西田甲45-5
93353,38206-5003-121.zip,202302131028,西条市西田,甲45-6,,,西条市西田甲45-6
93354,38206-5003-121.zip,202302131028,西条市西田,甲50-8,,,西条市西田甲50-8
