,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
25698,38206-5003-50.zip,202302131028,西条市西田西新開,1,,,西条市西田西新開1
25699,38206-5003-50.zip,202302131028,西条市西田西新開,2,,,西条市西田西新開2
25700,38206-5003-50.zip,202302131028,西条市西田西新開,3,,,西条市西田西新開3
25701,38206-5003-50.zip,202302131028,西条市西田西新開,4,,,西条市西田西新開4
25702,38206-5003-50.zip,202302131028,西条市西田西新開,5,,,西条市西田西新開5
25703,38206-5003-50.zip,202302131028,西条市西田西新開,6-1,,,西条市西田西新開6-1
25704,38206-5003-50.zip,202302131028,西条市西田西新開,6-2,,,西条市西田西新開6-2
25705,38206-5003-50.zip,202302131028,西条市西田西新開,7,,,西条市西田西新開7
25706,38206-5003-50.zip,202302131028,西条市西田西新開,8,,,西条市西田西新開8
25707,38206-5003-50.zip,202302131028,西条市西田西新開,9,,,西条市西田西新開9
25708,38206-5003-50.zip,202302131028,西条市西田西新開,10,,,西条市西田西新開10
25709,38206-5003-50.zip,202302131028,西条市西田西新開,11,,,西条市西田西新開11
25710,38206-5003-50.zip,202302131028,西条市西田西新開,12,,,西条市西田西新開12
25711,38206-5003-50.zip,202302131028,西条市西田西新開,13,,,西条市西田西新開13
25712,38206-5003-50.zip,202302131028,西条市西田西新開,14-1,,,西条市西田西新開14-1
25713,38206-5003-50.zip,202302131028,西条市西田西新開,14-2,,,西条市西田西新開14-2
25714,38206-5003-50.zip,202302131028,西条市西田西新開,15,,,西条市西田西新開15
25715,38206-5003-50.zip,202302131028,西条市西田西新開,16,,,西条市西田西新開16
25716,38206-5003-50.zip,202302131028,西条市西田西新開,17,,,西条市西田西新開17
25717,38206-5003-50.zip,202302131028,西条市西田西新開,18,,,西条市西田西新開18
25718,38206-5003-50.zip,202302131028,西条市西田西新開,19,,,西条市西田西新開19
25719,38206-5003-50.zip,202302131028,西条市西田西新開,20,,,西条市西田西新開20
25720,38206-5003-50.zip,202302131028,西条市西田西新開,21,,,西条市西田西新開21
25721,38206-5003-50.zip,202302131028,西条市西田西新開,22,,,西条市西田西新開22
25722,38206-5003-50.zip,202302131028,西条市西田西新開,23,,,西条市西田西新開23
25723,38206-5003-50.zip,202302131028,西条市西田西新開,24,,,西条市西田西新開24
25724,38206-5003-50.zip,202302131028,西条市西田西新開,25,,,西条市西田西新開25
25725,38206-5003-50.zip,202302131028,西条市西田西新開,26,,,西条市西田西新開26
25726,38206-5003-50.zip,202302131028,西条市西田西新開,27-1,,,西条市西田西新開27-1
25727,38206-5003-50.zip,202302131028,西条市西田西新開,27-2,,,西条市西田西新開27-2
25728,38206-5003-50.zip,202302131028,西条市西田西新開,28,,,西条市西田西新開28
25729,38206-5003-50.zip,202302131028,西条市西田西新開,29,,,西条市西田西新開29
25730,38206-5003-50.zip,202302131028,西条市西田西新開,30,,,西条市西田西新開30
25731,38206-5003-50.zip,202302131028,西条市西田西新開,31,,,西条市西田西新開31
25732,38206-5003-50.zip,202302131028,西条市西田西新開,32,,,西条市西田西新開32
