,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
86392,38206-5003-120.zip,202302131028,西条市野々市,1-1,,,西条市野々市1-1
86393,38206-5003-120.zip,202302131028,西条市野々市,1-3,,,西条市野々市1-3
86394,38206-5003-120.zip,202302131028,西条市野々市,2-1,,,西条市野々市2-1
86395,38206-5003-120.zip,202302131028,西条市野々市,2-2,,,西条市野々市2-2
86396,38206-5003-120.zip,202302131028,西条市野々市,2-3,,,西条市野々市2-3
86397,38206-5003-120.zip,202302131028,西条市野々市,2-5,,,西条市野々市2-5
86398,38206-5003-120.zip,202302131028,西条市野々市,3-1,,,西条市野々市3-1
86399,38206-5003-120.zip,202302131028,西条市野々市,3-2,,,西条市野々市3-2
86400,38206-5003-120.zip,202302131028,西条市野々市,4-1,,,西条市野々市4-1
86401,38206-5003-120.zip,202302131028,西条市野々市,5-1,,,西条市野々市5-1
86402,38206-5003-120.zip,202302131028,西条市野々市,5-2,,,西条市野々市5-2
86403,38206-5003-120.zip,202302131028,西条市野々市,5-3,,,西条市野々市5-3
86404,38206-5003-120.zip,202302131028,西条市野々市,6-1,,,西条市野々市6-1
86405,38206-5003-120.zip,202302131028,西条市野々市,6-2,,,西条市野々市6-2
86406,38206-5003-120.zip,202302131028,西条市野々市,6-5,,,西条市野々市6-5
86407,38206-5003-120.zip,202302131028,西条市野々市,7-1,,,西条市野々市7-1
86408,38206-5003-120.zip,202302131028,西条市野々市,7-3,,,西条市野々市7-3
86409,38206-5003-120.zip,202302131028,西条市野々市,7-4,,,西条市野々市7-4
86410,38206-5003-120.zip,202302131028,西条市野々市,8-2,,,西条市野々市8-2
86411,38206-5003-120.zip,202302131028,西条市野々市,8-3,,,西条市野々市8-3
86412,38206-5003-120.zip,202302131028,西条市野々市,8-5,,,西条市野々市8-5
86413,38206-5003-120.zip,202302131028,西条市野々市,8-6,,,西条市野々市8-6
86414,38206-5003-120.zip,202302131028,西条市野々市,8-7,,,西条市野々市8-7
86415,38206-5003-120.zip,202302131028,西条市野々市,9-1,,,西条市野々市9-1
86416,38206-5003-120.zip,202302131028,西条市野々市,9-2,,,西条市野々市9-2
86417,38206-5003-120.zip,202302131028,西条市野々市,9-3,,,西条市野々市9-3
86418,38206-5003-120.zip,202302131028,西条市野々市,9-4,,,西条市野々市9-4
86419,38206-5003-120.zip,202302131028,西条市野々市,10,,,西条市野々市10
86420,38206-5003-120.zip,202302131028,西条市野々市,11-1,,,西条市野々市11-1
86421,38206-5003-120.zip,202302131028,西条市野々市,11-2,,,西条市野々市11-2
86422,38206-5003-120.zip,202302131028,西条市野々市,11-5,,,西条市野々市11-5
86423,38206-5003-120.zip,202302131028,西条市野々市,11-8,,,西条市野々市11-8
86424,38206-5003-120.zip,202302131028,西条市野々市,11-9,,,西条市野々市11-9
86425,38206-5003-120.zip,202302131028,西条市野々市,11-10,,,西条市野々市11-10
86426,38206-5003-120.zip,202302131028,西条市野々市,13-2,,,西条市野々市13-2
86427,38206-5003-120.zip,202302131028,西条市野々市,13-3,,,西条市野々市13-3
86428,38206-5003-120.zip,202302131028,西条市野々市,14-1,,,西条市野々市14-1
86429,38206-5003-120.zip,202302131028,西条市野々市,14-3,,,西条市野々市14-3
86430,38206-5003-120.zip,202302131028,西条市野々市,16-1,,,西条市野々市16-1
86431,38206-5003-120.zip,202302131028,西条市野々市,16-2,,,西条市野々市16-2
86432,38206-5003-120.zip,202302131028,西条市野々市,17-1,,,西条市野々市17-1
86433,38206-5003-120.zip,202302131028,西条市野々市,19-1,,,西条市野々市19-1
86434,38206-5003-120.zip,202302131028,西条市野々市,19-2,,,西条市野々市19-2
86435,38206-5003-120.zip,202302131028,西条市野々市,20-1,,,西条市野々市20-1
86436,38206-5003-120.zip,202302131028,西条市野々市,20-2,,,西条市野々市20-2
86437,38206-5003-120.zip,202302131028,西条市野々市,20-5,,,西条市野々市20-5
86438,38206-5003-120.zip,202302131028,西条市野々市,20-6,,,西条市野々市20-6
86439,38206-5003-120.zip,202302131028,西条市野々市,21-1,,,西条市野々市21-1
86440,38206-5003-120.zip,202302131028,西条市野々市,21-4,,,西条市野々市21-4
86441,38206-5003-120.zip,202302131028,西条市野々市,22-1,,,西条市野々市22-1
