,Unnamed: 0,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address,latitude,longitude
0,345710,38206-5003-165.zip,202302131028,西条市坂元,乙11-1,,,西条市坂元乙11-1,33.894415,133.150834
1,345711,38206-5003-165.zip,202302131028,西条市坂元,乙11-2,,,西条市坂元乙11-2,33.894415,133.150834
2,345712,38206-5003-165.zip,202302131028,西条市坂元,乙11-3,,,西条市坂元乙11-3,33.894415,133.150834
3,345713,38206-5003-165.zip,202302131028,西条市坂元,乙12-1,,,西条市坂元乙12-1,33.88068,133.14262
4,345714,38206-5003-165.zip,202302131028,西条市坂元,乙12-2,,,西条市坂元乙12-2,33.88068,133.14262
5,345715,38206-5003-165.zip,202302131028,西条市坂元,乙12-3,,,西条市坂元乙12-3,33.88068,133.14262
6,345716,38206-5003-165.zip,202302131028,西条市坂元,乙12-4,,,西条市坂元乙12-4,33.88068,133.14262
7,345717,38206-5003-165.zip,202302131028,西条市坂元,乙12-5,,,西条市坂元乙12-5,33.88068,133.14262
8,345718,38206-5003-165.zip,202302131028,西条市坂元,乙12-6,,,西条市坂元乙12-6,33.88068,133.14262
9,345719,38206-5003-165.zip,202302131028,西条市坂元,乙12-7,,,西条市坂元乙12-7,33.88068,133.14262
10,345720,38206-5003-165.zip,202302131028,西条市坂元,乙12-8,,,西条市坂元乙12-8,33.88068,133.14262
11,345721,38206-5003-165.zip,202302131028,西条市坂元,乙12-9,,,西条市坂元乙12-9,33.88068,133.14262
12,345722,38206-5003-165.zip,202302131028,西条市坂元,乙12-11,,,西条市坂元乙12-11,33.881895,133.14262
13,345723,38206-5003-165.zip,202302131028,西条市坂元,乙12-13,,,西条市坂元乙12-13,33.88068,133.14262
14,345724,38206-5003-165.zip,202302131028,西条市坂元,乙12-14,,,西条市坂元乙12-14,33.88068,133.14262
15,345725,38206-5003-165.zip,202302131028,西条市坂元,乙12-17,,,西条市坂元乙12-17,33.88068,133.14262
16,345726,38206-5003-165.zip,202302131028,西条市坂元,乙12-19,,,西条市坂元乙12-19,33.88068,133.14262
17,345727,38206-5003-165.zip,202302131028,西条市坂元,乙12-20,,,西条市坂元乙12-20,33.88068,133.14262
18,345728,38206-5003-165.zip,202302131028,西条市坂元,乙12-21,,,西条市坂元乙12-21,33.88068,133.14262
19,345729,38206-5003-165.zip,202302131028,西条市坂元,乙12-22,,,西条市坂元乙12-22,33.88068,133.14262
20,345730,38206-5003-165.zip,202302131028,西条市坂元,乙12-24,,,西条市坂元乙12-24,33.88068,133.14262
21,345731,38206-5003-165.zip,202302131028,西条市坂元,乙12-25,,,西条市坂元乙12-25,33.88068,133.14262
22,345732,38206-5003-165.zip,202302131028,西条市坂元,乙12-28,,,西条市坂元乙12-28,33.88068,133.14262
23,345733,38206-5003-165.zip,202302131028,西条市坂元,乙12-29,,,西条市坂元乙12-29,33.88068,133.14262
24,345734,38206-5003-165.zip,202302131028,西条市坂元,乙12-30,,,西条市坂元乙12-30,33.88068,133.14262
25,345735,38206-5003-165.zip,202302131028,西条市坂元,乙12-31,,,西条市坂元乙12-31,33.88068,133.14262
26,345736,38206-5003-165.zip,202302131028,西条市坂元,乙12-32,,,西条市坂元乙12-32,33.88068,133.14262
27,345737,38206-5003-165.zip,202302131028,西条市坂元,乙12-33,,,西条市坂元乙12-33,33.88068,133.14262
28,345738,38206-5003-165.zip,202302131028,西条市坂元,乙12-34,,,西条市坂元乙12-34,33.88068,133.14262
29,345739,38206-5003-165.zip,202302131028,西条市坂元,乙12-35,,,西条市坂元乙12-35,33.88068,133.14262
30,345740,38206-5003-165.zip,202302131028,西条市坂元,乙12-37,,,西条市坂元乙12-37,33.88068,133.14262
31,345741,38206-5003-165.zip,202302131028,西条市坂元,乙12-38,,,西条市坂元乙12-38,33.88068,133.14262
32,345742,38206-5003-165.zip,202302131028,西条市坂元,乙12-39,,,西条市坂元乙12-39,33.88068,133.14262
33,345743,38206-5003-165.zip,202302131028,西条市坂元,乙12-40,,,西条市坂元乙12-40,33.88068,133.14262
34,345744,38206-5003-165.zip,202302131028,西条市坂元,乙12-41,,,西条市坂元乙12-41,33.88068,133.14262
35,345745,38206-5003-165.zip,202302131028,西条市坂元,乙12-43,,,西条市坂元乙12-43,33.88068,133.14262
36,345746,38206-5003-165.zip,202302131028,西条市坂元,乙12-45,,,西条市坂元乙12-45,33.88068,133.14262
37,345747,38206-5003-165.zip,202302131028,西条市坂元,乙12-46,,,西条市坂元乙12-46,33.88068,133.14262
38,345748,38206-5003-165.zip,202302131028,西条市坂元,乙12-48,,,西条市坂元乙12-48,33.88068,133.14262
39,345749,38206-5003-165.zip,202302131028,西条市坂元,乙12-49,,,西条市坂元乙12-49,33.88068,133.14262
40,345750,38206-5003-165.zip,202302131028,西条市坂元,乙12-50,,,西条市坂元乙12-50,33.88068,133.14262
41,345751,38206-5003-165.zip,202302131028,西条市坂元,乙12-51,,,西条市坂元乙12-51,33.88068,133.14262
42,345752,38206-5003-165.zip,202302131028,西条市坂元,乙12-53,,,西条市坂元乙12-53,33.88068,133.14262
43,345753,38206-5003-165.zip,202302131028,西条市坂元,乙12-54,,,西条市坂元乙12-54,33.88068,133.14262
44,345754,38206-5003-165.zip,202302131028,西条市坂元,乙12-55,,,西条市坂元乙12-55,33.88068,133.14262
45,345755,38206-5003-165.zip,202302131028,西条市坂元,乙12-56,,,西条市坂元乙12-56,33.88068,133.14262
46,345756,38206-5003-165.zip,202302131028,西条市坂元,乙12-57,,,西条市坂元乙12-57,33.88068,133.14262
47,345757,38206-5003-165.zip,202302131028,西条市坂元,乙12-58,,,西条市坂元乙12-58,33.88068,133.14262
48,345758,38206-5003-165.zip,202302131028,西条市坂元,乙12-61,,,西条市坂元乙12-61,33.88068,133.14262
49,345759,38206-5003-165.zip,202302131028,西条市坂元,乙12-62,,,西条市坂元乙12-62,33.88068,133.14262
50,345760,38206-5003-165.zip,202302131028,西条市坂元,乙12-63,,,西条市坂元乙12-63,33.88068,133.14262
51,345761,38206-5003-165.zip,202302131028,西条市坂元,乙12-64,,,西条市坂元乙12-64,33.88068,133.14262
52,345762,38206-5003-165.zip,202302131028,西条市坂元,乙12-65,,,西条市坂元乙12-65,33.88068,133.14262
53,345763,38206-5003-165.zip,202302131028,西条市坂元,乙12-69,,,西条市坂元乙12-69,33.88068,133.14262
54,345764,38206-5003-165.zip,202302131028,西条市坂元,乙12-70,,,西条市坂元乙12-70,33.88068,133.14262
55,345765,38206-5003-165.zip,202302131028,西条市坂元,乙12-72,,,西条市坂元乙12-72,33.88068,133.14262
56,345766,38206-5003-165.zip,202302131028,西条市坂元,乙12-74,,,西条市坂元乙12-74,33.88068,133.14262
57,345767,38206-5003-165.zip,202302131028,西条市坂元,乙12-77,,,西条市坂元乙12-77,33.88068,133.14262
58,345768,38206-5003-165.zip,202302131028,西条市坂元,乙12-79,,,西条市坂元乙12-79,33.88068,133.14262
59,345769,38206-5003-165.zip,202302131028,西条市坂元,乙12-80,,,西条市坂元乙12-80,33.88068,133.14262
60,345770,38206-5003-165.zip,202302131028,西条市坂元,乙12-83,,,西条市坂元乙12-83,33.88068,133.14262
61,345771,38206-5003-165.zip,202302131028,西条市坂元,乙12-88,,,西条市坂元乙12-88,33.88068,133.14262
62,345772,38206-5003-165.zip,202302131028,西条市坂元,乙12-89,,,西条市坂元乙12-89,33.88068,133.14262
