,Unnamed: 0,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address,latitude,longitude
0,84087,38206-5003-120.zip,202302131028,西条市坂元,甲1-1,,,西条市坂元甲1-1,33.890475,133.138155
1,84088,38206-5003-120.zip,202302131028,西条市坂元,甲1-3,,,西条市坂元甲1-3,33.890475,133.138155
2,84089,38206-5003-120.zip,202302131028,西条市坂元,甲1-4,,,西条市坂元甲1-4,33.890475,133.138155
3,84090,38206-5003-120.zip,202302131028,西条市坂元,甲1-5,,,西条市坂元甲1-5,33.890479,133.13817
4,84091,38206-5003-120.zip,202302131028,西条市坂元,甲1-6,,,西条市坂元甲1-6,33.890475,133.138155
5,84092,38206-5003-120.zip,202302131028,西条市坂元,甲1-7,,,西条市坂元甲1-7,33.890475,133.138155
6,84093,38206-5003-120.zip,202302131028,西条市坂元,甲1-8,,,西条市坂元甲1-8,33.890475,133.138155
7,84094,38206-5003-120.zip,202302131028,西条市坂元,甲1-9,,,西条市坂元甲1-9,33.890475,133.138155
8,84095,38206-5003-120.zip,202302131028,西条市坂元,甲1-10,,,西条市坂元甲1-10,33.890475,133.138155
9,84096,38206-5003-120.zip,202302131028,西条市坂元,甲1-11,,,西条市坂元甲1-11,33.890475,133.138155
10,84097,38206-5003-120.zip,202302131028,西条市坂元,甲1-12,,,西条市坂元甲1-12,33.890475,133.138155
11,84098,38206-5003-120.zip,202302131028,西条市坂元,甲1-13,,,西条市坂元甲1-13,33.890475,133.138155
12,84099,38206-5003-120.zip,202302131028,西条市坂元,甲1-14,,,西条市坂元甲1-14,33.890475,133.138155
13,84100,38206-5003-120.zip,202302131028,西条市坂元,甲3-2,,,西条市坂元甲3-2,33.889883,133.144276
14,84101,38206-5003-120.zip,202302131028,西条市坂元,甲3-6,,,西条市坂元甲3-6,33.889883,133.144276
15,84102,38206-5003-120.zip,202302131028,西条市坂元,甲4-4,,,西条市坂元甲4-4,33.889883,133.144276
16,84103,38206-5003-120.zip,202302131028,西条市坂元,甲5-1,,,西条市坂元甲5-1,33.889883,133.144276
17,84104,38206-5003-120.zip,202302131028,西条市坂元,甲5-3,,,西条市坂元甲5-3,33.889883,133.144276
18,84105,38206-5003-120.zip,202302131028,西条市坂元,甲6-1,,,西条市坂元甲6-1,33.890084,133.137566
19,84106,38206-5003-120.zip,202302131028,西条市坂元,甲6-3,,,西条市坂元甲6-3,33.890066,133.137564
20,84107,38206-5003-120.zip,202302131028,西条市坂元,甲6-4,,,西条市坂元甲6-4,33.890084,133.137566
21,84108,38206-5003-120.zip,202302131028,西条市坂元,甲9-1,,,西条市坂元甲9-1,33.889883,133.144276
22,84109,38206-5003-120.zip,202302131028,西条市坂元,甲10-5,,,西条市坂元甲10-5,33.889402,133.137374
23,84110,38206-5003-120.zip,202302131028,西条市坂元,甲11,,,西条市坂元甲11,33.889883,133.144276
24,84111,38206-5003-120.zip,202302131028,西条市坂元,甲13-1,,,西条市坂元甲13-1,33.889883,133.144276
25,84112,38206-5003-120.zip,202302131028,西条市坂元,甲13-2,,,西条市坂元甲13-2,33.889883,133.144276
26,84113,38206-5003-120.zip,202302131028,西条市坂元,甲14-1,,,西条市坂元甲14-1,33.888971,133.138103
27,84114,38206-5003-120.zip,202302131028,西条市坂元,甲14-2,,,西条市坂元甲14-2,33.889078,133.137887
28,84115,38206-5003-120.zip,202302131028,西条市坂元,甲14-3,,,西条市坂元甲14-3,33.889078,133.137887
29,84116,38206-5003-120.zip,202302131028,西条市坂元,甲15,,,西条市坂元甲15,33.889883,133.144276
