,Unnamed: 0,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address,latitude,longitude
0,25854,38206-5003-51.zip,202302131028,西条市西田,乙5-1,,,西条市西田乙5-1,33.883458,133.155515
1,344773,38206-5003-162.zip,202302131028,西条市西田,乙1-1,,,西条市西田乙1-1,33.883458,133.155515
2,344774,38206-5003-162.zip,202302131028,西条市西田,乙1-2,,,西条市西田乙1-2,33.883458,133.155515
3,344775,38206-5003-162.zip,202302131028,西条市西田,乙5-2,,,西条市西田乙5-2,33.883458,133.155515
4,344776,38206-5003-162.zip,202302131028,西条市西田,乙5-3,,,西条市西田乙5-3,33.883458,133.155515
5,344777,38206-5003-162.zip,202302131028,西条市西田,乙5-4,,,西条市西田乙5-4,33.883458,133.155515
6,344778,38206-5003-162.zip,202302131028,西条市西田,乙5-5,,,西条市西田乙5-5,33.883458,133.155515
7,344779,38206-5003-162.zip,202302131028,西条市西田,乙5-6,,,西条市西田乙5-6,33.883458,133.155515
8,344780,38206-5003-162.zip,202302131028,西条市西田,乙5-7,,,西条市西田乙5-7,33.883458,133.155515
9,344781,38206-5003-162.zip,202302131028,西条市西田,乙5-9,,,西条市西田乙5-9,33.883458,133.155515
10,344782,38206-5003-162.zip,202302131028,西条市西田,乙5-10,,,西条市西田乙5-10,33.883458,133.155515
11,344783,38206-5003-162.zip,202302131028,西条市西田,乙5-11,,,西条市西田乙5-11,33.883458,133.155515
12,344784,38206-5003-162.zip,202302131028,西条市西田,乙5-12,,,西条市西田乙5-12,33.883458,133.155515
13,344785,38206-5003-162.zip,202302131028,西条市西田,乙5-13,,,西条市西田乙5-13,33.883458,133.155515
14,344786,38206-5003-162.zip,202302131028,西条市西田,乙5-14,,,西条市西田乙5-14,33.883458,133.155515
15,344787,38206-5003-162.zip,202302131028,西条市西田,乙5-15,,,西条市西田乙5-15,33.883458,133.155515
16,344788,38206-5003-162.zip,202302131028,西条市西田,乙5-16,,,西条市西田乙5-16,33.883458,133.155515
17,344789,38206-5003-162.zip,202302131028,西条市西田,乙5-17,,,西条市西田乙5-17,33.883458,133.155515
18,344790,38206-5003-162.zip,202302131028,西条市西田,乙5-18,,,西条市西田乙5-18,33.883458,133.155515
19,344791,38206-5003-162.zip,202302131028,西条市西田,乙5-19,,,西条市西田乙5-19,33.883458,133.155515
20,344792,38206-5003-162.zip,202302131028,西条市西田,乙5-21,,,西条市西田乙5-21,33.883458,133.155515
21,344793,38206-5003-162.zip,202302131028,西条市西田,乙5-22,,,西条市西田乙5-22,33.883458,133.155515
22,344794,38206-5003-162.zip,202302131028,西条市西田,乙5-23,,,西条市西田乙5-23,33.883458,133.155515
23,344795,38206-5003-162.zip,202302131028,西条市西田,乙5-24,,,西条市西田乙5-24,33.883458,133.155515
24,344796,38206-5003-162.zip,202302131028,西条市西田,乙5-25,,,西条市西田乙5-25,33.883458,133.155515
25,344797,38206-5003-162.zip,202302131028,西条市西田,乙5-26,,,西条市西田乙5-26,33.883458,133.155515
26,344798,38206-5003-162.zip,202302131028,西条市西田,乙5-30,,,西条市西田乙5-30,33.883458,133.155515
27,344799,38206-5003-162.zip,202302131028,西条市西田,乙5-31,,,西条市西田乙5-31,33.883458,133.155515
28,344800,38206-5003-162.zip,202302131028,西条市西田,乙5-32,,,西条市西田乙5-32,33.883458,133.155515
29,344801,38206-5003-162.zip,202302131028,西条市西田,乙5-33,,,西条市西田乙5-33,33.883458,133.155515
30,344802,38206-5003-162.zip,202302131028,西条市西田,乙5-34,,,西条市西田乙5-34,33.883458,133.155515
31,344803,38206-5003-162.zip,202302131028,西条市西田,乙5-35,,,西条市西田乙5-35,33.883458,133.155515
32,344804,38206-5003-162.zip,202302131028,西条市西田,乙5-36,,,西条市西田乙5-36,33.883458,133.155515
33,344805,38206-5003-162.zip,202302131028,西条市西田,乙5-37,,,西条市西田乙5-37,33.883458,133.155515
34,344806,38206-5003-162.zip,202302131028,西条市西田,乙5-38,,,西条市西田乙5-38,33.883458,133.155515
35,344807,38206-5003-162.zip,202302131028,西条市西田,乙5-39,,,西条市西田乙5-39,33.883458,133.155515
36,344808,38206-5003-162.zip,202302131028,西条市西田,乙5-40,,,西条市西田乙5-40,0.0,0.0
37,344809,38206-5003-162.zip,202302131028,西条市西田,乙5-41,,,西条市西田乙5-41,33.883458,133.155515
38,344810,38206-5003-162.zip,202302131028,西条市西田,乙5-42,,,西条市西田乙5-42,33.883458,133.155515
39,344811,38206-5003-162.zip,202302131028,西条市西田,乙5-43,,,西条市西田乙5-43,33.883458,133.155515
40,344812,38206-5003-162.zip,202302131028,西条市西田,乙5-44,,,西条市西田乙5-44,33.883458,133.155515
41,344813,38206-5003-162.zip,202302131028,西条市西田,乙5-45,,,西条市西田乙5-45,33.883458,133.155515
42,344814,38206-5003-162.zip,202302131028,西条市西田,乙5-46,,,西条市西田乙5-46,33.883458,133.155515
43,344815,38206-5003-162.zip,202302131028,西条市西田,乙5-47,,,西条市西田乙5-47,33.883458,133.155515
44,344816,38206-5003-162.zip,202302131028,西条市西田,乙5-48,,,西条市西田乙5-48,0.0,0.0
45,344817,38206-5003-162.zip,202302131028,西条市西田,乙5-49,,,西条市西田乙5-49,33.883458,133.155515
46,344818,38206-5003-162.zip,202302131028,西条市西田,乙5-50,,,西条市西田乙5-50,0.0,0.0
47,344819,38206-5003-162.zip,202302131028,西条市西田,乙5-51,,,西条市西田乙5-51,33.883458,133.155515
48,344820,38206-5003-162.zip,202302131028,西条市西田,乙5-52,,,西条市西田乙5-52,33.883458,133.155515
49,344821,38206-5003-162.zip,202302131028,西条市西田,乙5-53,,,西条市西田乙5-53,33.883458,133.155515
50,344822,38206-5003-162.zip,202302131028,西条市西田,乙5-54,,,西条市西田乙5-54,33.883458,133.155515
51,344823,38206-5003-162.zip,202302131028,西条市西田,乙5-55,,,西条市西田乙5-55,33.883458,133.155515
52,344824,38206-5003-162.zip,202302131028,西条市西田,乙5-56,,,西条市西田乙5-56,0.0,0.0
53,344825,38206-5003-162.zip,202302131028,西条市西田,乙5-57,,,西条市西田乙5-57,33.883458,133.155515
54,344826,38206-5003-162.zip,202302131028,西条市西田,乙5-58,,,西条市西田乙5-58,33.883458,133.155515
55,344827,38206-5003-162.zip,202302131028,西条市西田,乙5-59,,,西条市西田乙5-59,33.883458,133.155515
56,344828,38206-5003-162.zip,202302131028,西条市西田,乙5-60,,,西条市西田乙5-60,33.883458,133.155515
57,344829,38206-5003-162.zip,202302131028,西条市西田,乙5-61,,,西条市西田乙5-61,33.883458,133.155515
58,344830,38206-5003-162.zip,202302131028,西条市西田,乙5-62,,,西条市西田乙5-62,33.883458,133.155515
