,Unnamed: 0,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address,latitude,longitude
0,25698,38206-5003-50.zip,202302131028,西条市西田西新開,1,,,西条市西田西新開1,33.89823,133.153566
1,25699,38206-5003-50.zip,202302131028,西条市西田西新開,2,,,西条市西田西新開2,33.89823,133.153566
2,25700,38206-5003-50.zip,202302131028,西条市西田西新開,3,,,西条市西田西新開3,33.89823,133.153566
3,25701,38206-5003-50.zip,202302131028,西条市西田西新開,4,,,西条市西田西新開4,33.89823,133.153566
4,25702,38206-5003-50.zip,202302131028,西条市西田西新開,5,,,西条市西田西新開5,33.89823,133.153566
5,25703,38206-5003-50.zip,202302131028,西条市西田西新開,6-1,,,西条市西田西新開6-1,33.89823,133.153566
6,25704,38206-5003-50.zip,202302131028,西条市西田西新開,6-2,,,西条市西田西新開6-2,33.89823,133.153566
7,25705,38206-5003-50.zip,202302131028,西条市西田西新開,7,,,西条市西田西新開7,33.89823,133.153566
8,25706,38206-5003-50.zip,202302131028,西条市西田西新開,8,,,西条市西田西新開8,33.89823,133.153566
9,25707,38206-5003-50.zip,202302131028,西条市西田西新開,9,,,西条市西田西新開9,33.89823,133.153566
10,25708,38206-5003-50.zip,202302131028,西条市西田西新開,10,,,西条市西田西新開10,33.89823,133.153566
11,25709,38206-5003-50.zip,202302131028,西条市西田西新開,11,,,西条市西田西新開11,33.89823,133.153566
12,25710,38206-5003-50.zip,202302131028,西条市西田西新開,12,,,西条市西田西新開12,0.0,0.0
13,25711,38206-5003-50.zip,202302131028,西条市西田西新開,13,,,西条市西田西新開13,33.89823,133.153566
14,25712,38206-5003-50.zip,202302131028,西条市西田西新開,14-1,,,西条市西田西新開14-1,33.89823,133.153566
15,25713,38206-5003-50.zip,202302131028,西条市西田西新開,14-2,,,西条市西田西新開14-2,33.89823,133.153566
16,25714,38206-5003-50.zip,202302131028,西条市西田西新開,15,,,西条市西田西新開15,33.89823,133.153566
17,25715,38206-5003-50.zip,202302131028,西条市西田西新開,16,,,西条市西田西新開16,33.89823,133.153566
18,25716,38206-5003-50.zip,202302131028,西条市西田西新開,17,,,西条市西田西新開17,33.89823,133.153566
19,25717,38206-5003-50.zip,202302131028,西条市西田西新開,18,,,西条市西田西新開18,33.89823,133.153566
20,25718,38206-5003-50.zip,202302131028,西条市西田西新開,19,,,西条市西田西新開19,33.89823,133.153566
21,25719,38206-5003-50.zip,202302131028,西条市西田西新開,20,,,西条市西田西新開20,33.89823,133.153566
22,25720,38206-5003-50.zip,202302131028,西条市西田西新開,21,,,西条市西田西新開21,33.89823,133.153566
23,25721,38206-5003-50.zip,202302131028,西条市西田西新開,22,,,西条市西田西新開22,33.89823,133.153566
24,25722,38206-5003-50.zip,202302131028,西条市西田西新開,23,,,西条市西田西新開23,33.89823,133.153566
25,25723,38206-5003-50.zip,202302131028,西条市西田西新開,24,,,西条市西田西新開24,33.89823,133.153566
26,25724,38206-5003-50.zip,202302131028,西条市西田西新開,25,,,西条市西田西新開25,33.89823,133.153566
27,25725,38206-5003-50.zip,202302131028,西条市西田西新開,26,,,西条市西田西新開26,33.89823,133.153566
28,25726,38206-5003-50.zip,202302131028,西条市西田西新開,27-1,,,西条市西田西新開27-1,33.89823,133.153566
29,25727,38206-5003-50.zip,202302131028,西条市西田西新開,27-2,,,西条市西田西新開27-2,33.89823,133.153566
30,25728,38206-5003-50.zip,202302131028,西条市西田西新開,28,,,西条市西田西新開28,33.89823,133.153566
31,25729,38206-5003-50.zip,202302131028,西条市西田西新開,29,,,西条市西田西新開29,33.89823,133.153566
32,25730,38206-5003-50.zip,202302131028,西条市西田西新開,30,,,西条市西田西新開30,33.89823,133.153566
33,25731,38206-5003-50.zip,202302131028,西条市西田西新開,31,,,西条市西田西新開31,33.89823,133.153566
34,25732,38206-5003-50.zip,202302131028,西条市西田西新開,32,,,西条市西田西新開32,33.89823,133.153566
35,25733,38206-5003-50.zip,202302131028,西条市西田西新開,33,,,西条市西田西新開33,33.89823,133.153566
36,25734,38206-5003-50.zip,202302131028,西条市西田西新開,34,,,西条市西田西新開34,33.89823,133.153566
37,25735,38206-5003-50.zip,202302131028,西条市西田西新開,35,,,西条市西田西新開35,33.89823,133.153566
38,25736,38206-5003-50.zip,202302131028,西条市西田西新開,36,,,西条市西田西新開36,33.89823,133.153566
39,25737,38206-5003-50.zip,202302131028,西条市西田西新開,37,,,西条市西田西新開37,33.89823,133.153566
40,25738,38206-5003-50.zip,202302131028,西条市西田西新開,38,,,西条市西田西新開38,33.89823,133.153566
41,25739,38206-5003-50.zip,202302131028,西条市西田西新開,39,,,西条市西田西新開39,33.89823,133.153566
