,Unnamed: 0,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address,latitude,longitude
0,86392,38206-5003-120.zip,202302131028,西条市野々市,1-1,,,西条市野々市1-1,33.891241,133.138624
1,86393,38206-5003-120.zip,202302131028,西条市野々市,1-3,,,西条市野々市1-3,33.893928,133.141274
2,86394,38206-5003-120.zip,202302131028,西条市野々市,2-1,,,西条市野々市2-1,33.894058,133.140923
3,86395,38206-5003-120.zip,202302131028,西条市野々市,2-2,,,西条市野々市2-2,33.894149,133.141398
4,86396,38206-5003-120.zip,202302131028,西条市野々市,2-3,,,西条市野々市2-3,33.894049,133.141057
5,86397,38206-5003-120.zip,202302131028,西条市野々市,2-5,,,西条市野々市2-5,33.894138,133.141199
6,86398,38206-5003-120.zip,202302131028,西条市野々市,3-1,,,西条市野々市3-1,33.89423,133.141311
7,86399,38206-5003-120.zip,202302131028,西条市野々市,3-2,,,西条市野々市3-2,33.894231,133.141312
8,86400,38206-5003-120.zip,202302131028,西条市野々市,4-1,,,西条市野々市4-1,33.894341,133.141442
9,86401,38206-5003-120.zip,202302131028,西条市野々市,5-1,,,西条市野々市5-1,33.894979,133.14109
10,86402,38206-5003-120.zip,202302131028,西条市野々市,5-2,,,西条市野々市5-2,33.894351,133.141199
11,86403,38206-5003-120.zip,202302131028,西条市野々市,5-3,,,西条市野々市5-3,33.894327,133.141009
12,86404,38206-5003-120.zip,202302131028,西条市野々市,6-1,,,西条市野々市6-1,33.893997,133.140547
13,86405,38206-5003-120.zip,202302131028,西条市野々市,6-2,,,西条市野々市6-2,33.893926,133.140614
14,86406,38206-5003-120.zip,202302131028,西条市野々市,6-5,,,西条市野々市6-5,33.894034,133.140673
15,86407,38206-5003-120.zip,202302131028,西条市野々市,7-1,,,西条市野々市7-1,33.894004,133.140157
16,86408,38206-5003-120.zip,202302131028,西条市野々市,7-3,,,西条市野々市7-3,33.894005,133.140441
17,86409,38206-5003-120.zip,202302131028,西条市野々市,7-4,,,西条市野々市7-4,33.893891,133.140316
18,86410,38206-5003-120.zip,202302131028,西条市野々市,8-2,,,西条市野々市8-2,33.894225,133.140432
19,86411,38206-5003-120.zip,202302131028,西条市野々市,8-3,,,西条市野々市8-3,33.894072,133.140224
20,86412,38206-5003-120.zip,202302131028,西条市野々市,8-5,,,西条市野々市8-5,33.894281,133.140214
21,86413,38206-5003-120.zip,202302131028,西条市野々市,8-6,,,西条市野々市8-6,33.894187,133.140208
22,86414,38206-5003-120.zip,202302131028,西条市野々市,8-7,,,西条市野々市8-7,33.894187,133.140208
23,86415,38206-5003-120.zip,202302131028,西条市野々市,9-1,,,西条市野々市9-1,33.894692,133.140301
24,86416,38206-5003-120.zip,202302131028,西条市野々市,9-2,,,西条市野々市9-2,33.894476,133.140408
25,86417,38206-5003-120.zip,202302131028,西条市野々市,9-3,,,西条市野々市9-3,33.894423,133.140259
26,86418,38206-5003-120.zip,202302131028,西条市野々市,9-4,,,西条市野々市9-4,33.894692,133.140301
27,86419,38206-5003-120.zip,202302131028,西条市野々市,10,,,西条市野々市10,33.894339,133.140458
28,86420,38206-5003-120.zip,202302131028,西条市野々市,11-1,,,西条市野々市11-1,33.894929,133.140463
29,86421,38206-5003-120.zip,202302131028,西条市野々市,11-2,,,西条市野々市11-2,33.894929,133.140463
30,86422,38206-5003-120.zip,202302131028,西条市野々市,11-5,,,西条市野々市11-5,33.894929,133.140463
31,86423,38206-5003-120.zip,202302131028,西条市野々市,11-8,,,西条市野々市11-8,33.894929,133.140463
32,86424,38206-5003-120.zip,202302131028,西条市野々市,11-9,,,西条市野々市11-9,33.894838,133.140404
33,86425,38206-5003-120.zip,202302131028,西条市野々市,11-10,,,西条市野々市11-10,33.894924,133.140558
34,86426,38206-5003-120.zip,202302131028,西条市野々市,13-2,,,西条市野々市13-2,33.893105,133.139088
35,86427,38206-5003-120.zip,202302131028,西条市野々市,13-3,,,西条市野々市13-3,33.893105,133.139088
36,86428,38206-5003-120.zip,202302131028,西条市野々市,14-1,,,西条市野々市14-1,33.894365,133.140753
37,86429,38206-5003-120.zip,202302131028,西条市野々市,14-3,,,西条市野々市14-3,33.894365,133.140753
38,86430,38206-5003-120.zip,202302131028,西条市野々市,16-1,,,西条市野々市16-1,33.894664,133.141364
39,86431,38206-5003-120.zip,202302131028,西条市野々市,16-2,,,西条市野々市16-2,33.894751,133.141218
40,86432,38206-5003-120.zip,202302131028,西条市野々市,17-1,,,西条市野々市17-1,33.893105,133.139088
41,86433,38206-5003-120.zip,202302131028,西条市野々市,19-1,,,西条市野々市19-1,33.895576,133.141313
42,86434,38206-5003-120.zip,202302131028,西条市野々市,19-2,,,西条市野々市19-2,33.895576,133.141313
43,86435,38206-5003-120.zip,202302131028,西条市野々市,20-1,,,西条市野々市20-1,33.895891,133.141249
44,86436,38206-5003-120.zip,202302131028,西条市野々市,20-2,,,西条市野々市20-2,33.895581,133.14082
45,86437,38206-5003-120.zip,202302131028,西条市野々市,20-5,,,西条市野々市20-5,33.895618,133.141186
46,86438,38206-5003-120.zip,202302131028,西条市野々市,20-6,,,西条市野々市20-6,33.895618,133.141186
